"id","tourn_id","date","teamA","scoreA","scoreB","teamB","et","sc","w","l","d","dA","dB"
"finals","wc_1966","1966-07-20  ","Russia/USSR",2,1,"Chile",0,NA,"Russia/USSR","Chile",FALSE,NA,NA
"finals","wc_1966","1966-07-23  ","England",1,0,"Argentina",0,NA,"England","Argentina",FALSE,NA,NA
"finals","wc_1966","1966-07-23  ","Germany",4,0,"Uruguay",0,NA,"Germany","Uruguay",FALSE,NA,NA
"finals","wc_1966","1966-07-23  ","Portugal",5,3,"North Korea",0,NA,"Portugal","North Korea",FALSE,NA,NA
"finals","wc_1966","1966-07-23  ","Russia/USSR",2,1,"Hungary",0,NA,"Russia/USSR","Hungary",FALSE,NA,NA
"finals","wc_1966","1966-07-25  ","Germany",2,1,"Russia/USSR",0,NA,"Germany","Russia/USSR",FALSE,NA,NA
"finals","wc_1966","1966-07-26  ","England",2,1,"Portugal",0,NA,"England","Portugal",FALSE,NA,NA
"finals","wc_1966","1966-07-28  ","Portugal",2,1,"Russia/USSR",0,NA,"Portugal","Russia/USSR",FALSE,NA,NA
"finals","wc_1966","  1966-07-30","England",4,2,"Germany",0,NA,"England","Germany",FALSE,NA,NA
"finals","wc_1970","1970-05-31  ","Russia/USSR",0,0,"Mexico",0,NA,"Draw","Draw",TRUE,"Russia/USSR","Mexico"
"finals","wc_1970","1970-06-03  ","Belgium",3,0,"El Salvador",0,NA,"Belgium","El Salvador",FALSE,NA,NA
"finals","wc_1970","1970-06-06  ","Russia/USSR",4,1,"Belgium",0,NA,"Russia/USSR","Belgium",FALSE,NA,NA
"finals","wc_1970","1970-06-07  ","Mexico",4,0,"El Salvador",0,NA,"Mexico","El Salvador",FALSE,NA,NA
"finals","wc_1970","1970-06-10  ","Russia/USSR",2,0,"El Salvador",0,NA,"Russia/USSR","El Salvador",FALSE,NA,NA
"finals","wc_1970","1970-06-11  ","Mexico",1,0,"Belgium",0,NA,"Mexico","Belgium",FALSE,NA,NA
"finals","wc_1970","1970-06-02  ","Uruguay",2,0,"Israel",0,NA,"Uruguay","Israel",FALSE,NA,NA
"finals","wc_1970","1970-06-03  ","Italy",1,0,"Sweden",0,NA,"Italy","Sweden",FALSE,NA,NA
"finals","wc_1970","1970-06-06  ","Uruguay",0,0,"Italy",0,NA,"Draw","Draw",TRUE,"Uruguay","Italy"
"finals","wc_1970","1970-06-07  ","Sweden",1,1,"Israel",0,NA,"Draw","Draw",TRUE,"Sweden","Israel"
"finals","wc_1970","1970-06-10  ","Uruguay",0,1,"Sweden",0,NA,"Sweden","Uruguay",FALSE,NA,NA
"finals","wc_1970","1970-06-11  ","Italy",0,0,"Israel",0,NA,"Draw","Draw",TRUE,"Italy","Israel"
"finals","wc_1970","1970-06-02  ","Romania",0,1,"England",0,NA,"England","Romania",FALSE,NA,NA
"finals","wc_1970","1970-06-03  ","Czech Republic/CSFR",1,4,"Brazil",0,NA,"Brazil","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1970","1970-06-06  ","Romania",2,1,"Czech Republic/CSFR",0,NA,"Romania","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1970","1970-06-07  ","England",0,1,"Brazil",0,NA,"Brazil","England",FALSE,NA,NA
